N	Z	A	El	mass	m_err
1	0	1	n	1008664.91582	0.00049
0	1	1	H	1007825.03224	9e-05
1	1	2	H	2014101.77811	0.00012
2	1	3	H	3016049.28199	0.00023
1	2	3	He	3016029.32265	0.00022
0	3	3	Li	3030775.0	2147.0
3	1	4	H	4026431.868	107.354
2	2	4	He	4002603.25413	6e-05
1	3	4	Li	4027185.562	227.733
4	1	5	H	5035311.493	96.02
3	2	5	He	5012057.224	21.47
2	3	5	Li	5012537.8	53.677
1	4	5	Be	5039870.0	2150.0
5	1	6	H	6044955.437	272.816
4	2	6	He	6018885.891	0.057
3	3	6	Li	6015122.88742	0.00155
2	4	6	Be	6019726.409	5.848
1	5	6	B	6050800.0	2150.0
6	1	7	H	7052749.0	1078.0
5	2	7	He	7027990.654	8.115
4	3	7	Li	7016003.43666	0.00454
3	4	7	Be	7016928.717	0.076
2	5	7	B	7029712.0	27.0
6	2	8	He	8033934.39	0.095
5	3	8	Li	8022486.246	0.05
4	4	8	Be	8005305.102	0.037
3	5	8	B	8024607.316	1.073
2	6	8	C	8037643.042	19.584
7	2	9	He	9043946.419	50.259
6	3	9	Li	9026790.191	0.2
5	4	9	Be	9012183.066	0.082
4	5	9	B	9013329.649	0.969
3	6	9	C	9031037.207	2.293
8	2	10	He	10052815.308	99.676
7	3	10	Li	10035483.453	13.656
6	4	10	Be	10013534.695	0.086
5	5	10	B	10012936.862	0.016
4	6	10	C	10016853.218	0.075
3	7	10	N	10041653.543	429.417
8	3	11	Li	11043723.581	0.66
7	4	11	Be	11021661.081	0.255
6	5	11	B	11009305.166	0.013
5	6	11	C	11011432.597	0.064
4	7	11	N	11026090.945	49.548
9	3	12	Li	12052613.941	32.213
8	4	12	Be	12026922.083	2.048
7	5	12	B	12014352.638	1.418
6	6	12	C	12000000.0	0.0
5	7	12	N	12018613.182	1.073
4	8	12	O	12034261.747	25.765
10	3	13	Li	13061171.503	75.15
9	4	13	Be	13036134.507	10.929
8	5	13	B	13017779.981	1.073
7	6	13	C	13003354.8352	0.00023
6	7	13	N	13005738.609	0.289
5	8	13	O	13024815.437	10.226
10	4	14	Be	14042892.92	141.97
9	5	14	B	14025404.012	22.773
8	6	14	C	14003241.9884	0.00403
7	7	14	N	14003074.0045	0.00021
6	8	14	O	14008596.706	0.027
5	9	14	F	14034315.199	44.142
11	4	15	Be	15053490.215	177.99
10	5	15	B	15031087.953	22.578
9	6	15	C	15010599.256	0.858
